a52dec 0.8.0-3
aalib 1.4rc5-19
abseil-cpp 20260526.0-2
acl 2.4.0-1
ada 3.4.4-1
adwaita-cursors 50.0-1
adwaita-fonts 50.0-1
adwaita-icon-theme 50.0-1
adwaita-icon-theme-legacy 46.2-3
aircrack-ng 1.7-7
alsa-card-profiles 1:1.6.7-1
alsa-lib 1.2.16.1-1
alsa-plugins 1:1.2.12-5
alsa-topology-conf 1.2.5.1-4
alsa-ucm-conf 1.2.16.1-1
alsa-utils 1.2.16-1
amd-ucode 20260622-1
android-ndk r29-3
android-sdk 26.1.1-2
android-sdk-debug 26.1.1-2
android-tools 35.0.2-28
android-udev 20260423-1
aom 3.14.1-1
appstream 1.1.3-1
aquamarine 0.12.1-1
archlinux-keyring 20260612-1
argon2 20190702-6
at-spi2-core 2.60.5-1
atkmm 2.28.5-2
attica 6.27.0-1
attr 2.6.0-1
audit 4.1.4-2
autoconf 2.73-1
automake 1.18.1-1
avahi 1:0.9rc5-1
awww 0.12.1-1
ayatana-ido 0.10.4-1
babl 0.1.126-1
base 3-3
base-devel 1-2
bash 5.3.15-1
bc 1.08.2-1
bcg729 1.1.1-2
bdf-unifont 17.0.03-1
betterbird-bin 140.11.0esr-1
bibata-cursor-theme 2.0.7-1
bind 9.20.24-1
binutils 2.46.1+r3+g046eeeef4721-1
bison 3.8.2-8
blas 3.12.1-2
bluez 5.87-2
bluez-deprecated-tools 5.87-2
bluez-libs 5.87-2
bluez-utils 5.87-2
boost-libs 1.91.0-1
breeze 6.7.2-1
breeze-cursors 6.7.2-1
breeze-icons 6.27.0-1
brightnessctl 0.5.1-3
brltty 6.9.1-3
brotli 1.2.0-1
bubblewrap 0.11.2-1
bzip2 1.0.8-6
c-ares 1.34.6-1
ca-certificates 20240618-1
ca-certificates-mozilla 3.125-1
ca-certificates-utils 20240618-1
cairo 1.18.4-1
cairomm 1.14.6-1
cairomm-1.16 1.18.1-1
caligula 0.5.0-1
capstone 5.0.9-1
cblas 3.12.1-2
ccat 1.1.0-4
cdparanoia 10.2-9
chrony 4.8-3
cjson 1.7.19-1
clang 22.1.6-1
clang21 21.1.8-1
cliphist 1:0.7.0-2
clucene 2.3.3.4-17
cmark 0.31.2-1
codec2 1:1.2.0-2
compiler-rt 22.1.6-1
compiler-rt21 21.1.8-1
coreutils 9.11-1
cpio 2.15-3
cryptsetup 2.8.6-1
